Neighborhood,Population,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Postal Code,Borough,Neighbourhood,Zip,ID,Lat,Long,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Country,Source
Agincourt,44557,Skating Rink,Lounge,Latin American Restaurant,Breakfast Spot,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,M1S,Scarborough,Agincourt,M1S,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Alderwood, Long Branch",21281,Pizza Place,Gym,Coffee Shop,Skating Rink,Pub,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,M8W,Etobicoke,"Alderwood, Long Branch",M8W,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Bathurst Manor, Wilson Heights, Downsview North",65290,Coffee Shop,Bank,Pharmacy,Fried Chicken Joint,Shopping Mall,Bridal Shop,Diner,Sandwich Place,Deli / Bodega,Middle Eastern Restaurant,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",M3H,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
Bayview Village,12280,Japanese Restaurant,Café,Bank,Chinese Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Women's Store,M2K,North York,Bayview Village,M2K,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
"Bedford Park, Lawrence Manor East",27499,Italian Restaurant,Coffee Shop,Sandwich Place,Women's Store,Butcher,Restaurant,Café,Pub,Pizza Place,Comfort Food Restaurant,M5M,North York,"Bedford Park, Lawrence Manor East",M5M,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4
Berczy Park,,Coffee Shop,Cocktail Bar,Bakery,Beer Bar,Farmers Market,Seafood Restaurant,Cheese Shop,Restaurant,Clothing Store,Juice Bar,M5E,Downtown Toronto,Berczy Park,M5E,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
"Birch Cliff, Cliffside West",21652,College Stadium,Café,Skating Rink,General Entertainment,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,M1N,Scarborough,"Birch Cliff, Cliffside West",M1N,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Brockton, Parkdale Village, Exhibition Place",37406,Café,Coffee Shop,Breakfast Spot,Bakery,Stadium,Burrito Place,Furniture / Home Store,Restaurant,Climbing Gym,Nightclub,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",M6K,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",14368,Airport Service,Airport Terminal,Airport Lounge,Plane,Coffee Shop,Sculpture Garden,Bar,Boat or Ferry,Rental Car Location,Airport Gate,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M5V,11,11,11,11,11,11,11,11,11,0,0,11,11,0,11,11
Caledonia-Fairbanks,0,Park,Women's Store,Pool,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,M6E,York,Caledonia-Fairbanks,M6E,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
Central Bay Street,4787,Coffee Shop,Italian Restaurant,Sandwich Place,Café,Salad Place,Bubble Tea Shop,Burger Joint,Poke Place,Comic Shop,Office,M5G,Downtown Toronto,Central Bay Street,M5G,12,12,12,12,12,12,12,12,12,0,0,12,12,0,12,12
Christie,5124,Grocery Store,Café,Park,Nightclub,Italian Restaurant,Baby Store,Athletics & Sports,Restaurant,Candy Store,Coffee Shop,M6G,Downtown Toronto,Christie,M6G,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
Church and Wellesley,13397,Coffee Shop,Sushi Restaurant,Japanese Restaurant,Gay Bar,Restaurant,Yoga Studio,Men's Store,Fast Food Restaurant,Café,Mediterranean Restaurant,M4Y,Downtown Toronto,Church and Wellesley,M4Y,6,6,6,6,6,6,6,6,6,0,0,6,6,0,6,6
"Clarks Corners, Tam O'Shanter, Sullivan",0,Pizza Place,Fast Food Restaurant,Noodle House,Gas Station,Intersection,Fried Chicken Joint,Thai Restaurant,Rental Car Location,Bank,Chinese Restaurant,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",M1T,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
Davisville,23727,Pizza Place,Sandwich Place,Dessert Shop,Coffee Shop,Sushi Restaurant,Café,Italian Restaurant,Gym,Thai Restaurant,Tennis Court,M4S,Central Toronto,Davisville,M4S,5,5,5,5,5,5,5,5,5,0,0,5,5,0,5,5
Davisville North,0,Gym / Fitness Center,Hotel,Breakfast Spot,Food & Drink Shop,Sandwich Place,Department Store,Pizza Place,Park,Comic Shop,Dessert Shop,M4P,Central Toronto,Davisville North,M4P,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
Don Mills,21372,Gym,Beer Store,Japanese Restaurant,Restaurant,Coffee Shop,Athletics & Sports,Asian Restaurant,Caribbean Restaurant,Supermarket,Baseball Field,M3B,North York,Don Mills,M3B,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"Dorset Park, Wexford Heights, Scarborough Town Centre",48436,Indian Restaurant,Vietnamese Restaurant,Thrift / Vintage Store,Light Rail Station,Pet Store,Chinese Restaurant,Dumpling Restaurant,Eastern European Restaurant,Drugstore,Donut Shop,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",M1P,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4
"Dufferin, Dovercourt Village",18372,Bakery,Pharmacy,Bank,Bar,Café,Smoke Shop,Supermarket,Middle Eastern Restaurant,Furniture / Home Store,Music Venue,M6H,West Toronto,"Dufferin, Dovercourt Village",M6H,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"East Toronto, Broadview North (Old East York)",0,Park,Convenience Store,Metro Station,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,M4J,East York,"East Toronto, Broadview North (Old East York)",M4J,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",0,Pharmacy,Coffee Shop,Beer Store,Liquor Store,Shopping Plaza,Café,Pet Store,Pizza Place,Department Store,Dumpling Restaurant,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",M9C,6,6,6,6,6,6,6,6,6,0,0,6,6,0,6,6
"Fairview, Henry Farm, Oriole",2790,Clothing Store,Coffee Shop,Fast Food Restaurant,Restaurant,Jewelry Store,Bank,Bakery,Convenience Store,Juice Bar,Cosmetics Shop,M2J,North York,"Fairview, Henry Farm, Oriole",M2J,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Forest Hill North & West, Forest Hill Road Park",24056,Jewelry Store,Sushi Restaurant,Mexican Restaurant,Trail,Women's Store,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",M5P,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"Garden District, Ryerson",8240,Coffee Shop,Clothing Store,Middle Eastern Restaurant,Italian Restaurant,Bubble Tea Shop,Japanese Restaurant,Café,Cosmetics Shop,Hotel,Theater,M5B,Downtown Toronto,"Garden District, Ryerson",M5B,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4
"Guildwood, Morningside, West Hill",49924,Intersection,Bank,Medical Center,Electronics Store,Breakfast Spot,Mexican Restaurant,Restaurant,Rental Car Location,Dessert Shop,Dim Sum Restaurant,M1E,Scarborough,"Guildwood, Morningside, West Hill",M1E,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Harbourfront East, Union Station, Toronto Islands",14995,Coffee Shop,Aquarium,Café,Hotel,Italian Restaurant,Fried Chicken Joint,Brewery,Restaurant,Scenic Lookout,Bank,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",M5J,6,6,6,6,6,6,6,6,6,0,0,6,6,0,6,6
"High Park, The Junction South",34137,Thai Restaurant,Mexican Restaurant,Café,Fast Food Restaurant,Bookstore,Park,Speakeasy,Discount Store,Flea Market,Diner,M6P,West Toronto,"High Park, The Junction South",M6P,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
Humewood-Cedarvale,27515,Playground,Trail,Field,Hockey Arena,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,M6C,York,Humewood-Cedarvale,M6C,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"India Bazaar, The Beaches West",20416,Fast Food Restaurant,Coffee Shop,Pub,Brewery,Liquor Store,Park,Sandwich Place,Steakhouse,Fish & Chips Shop,Italian Restaurant,M4L,East Toronto,"India Bazaar, The Beaches West",M4L,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4
"Kensington Market, Chinatown, Grange Park",12747,Café,Coffee Shop,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Mexican Restaurant,Bar,Bakery,Grocery Store,Caribbean Restaurant,Gaming Cafe,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",M5T,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"Lawrence Manor, Lawrence Heights",17519,Clothing Store,Women's Store,Sporting Goods Shop,Boutique,Miscellaneous Shop,Furniture / Home Store,Carpet Store,Event Space,Coffee Shop,Accessories Store,M6A,North York,"Lawrence Manor, Lawrence Heights",M6A,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
Lawrence Park,6653,Bus Line,Park,Swim School,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Women's Store,M4N,Central Toronto,Lawrence Park,M4N,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
Leaside,13876,Sporting Goods Shop,Coffee Shop,Burger Joint,Bank,Furniture / Home Store,Sushi Restaurant,Dessert Shop,Supermarket,Fish & Chips Shop,Restaurant,M4G,East York,Leaside,M4G,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4
"Little Portugal, Trinity",9200,Bar,Restaurant,Café,Vegetarian / Vegan Restaurant,Asian Restaurant,Men's Store,Coffee Shop,Park,Beer Store,Boutique,M6J,West Toronto,"Little Portugal, Trinity",M6J,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
"Malvern, Rouge",67048,Fast Food Restaurant,Print Shop,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Donut Shop,M1B,Scarborough,"Malvern, Rouge",M1B,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",96830,Playground,Intersection,Park,Gym,Golf Course,Electronics Store,Dumpling Restaurant,Drugstore,Donut Shop,Doner Restaurant,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",M1V,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",6207,Grocery Store,Tanning Salon,Convenience Store,Discount Store,Burrito Place,Burger Joint,Sandwich Place,Social Club,Supplement Shop,Bakery,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",M8Z,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
"Moore Park, Summerhill East",9574,Restaurant,Summer Camp,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant,M4T,Central Toronto,"Moore Park, Summerhill East",M4T,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"North Toronto West, Lawrence Park",6653,Coffee Shop,Clothing Store,Yoga Studio,Italian Restaurant,Pet Store,Chinese Restaurant,Café,Restaurant,Salon / Barbershop,Mexican Restaurant,M4R,Central Toronto,"North Toronto West, Lawrence Park",M4R,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Northwood Park, York University",26140,Falafel Restaurant,Coffee Shop,Metro Station,Bar,Caribbean Restaurant,Massage Studio,Concert Hall,Diner,Ethiopian Restaurant,Electronics Store,M3J,North York,"Northwood Park, York University",M3J,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",59553,Baseball Field,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Women's Store,Farmers Market,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",M8Y,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"Parkdale, Roncesvalles",44363,Gift Shop,Breakfast Spot,Italian Restaurant,Bar,Bookstore,Eastern European Restaurant,Movie Theater,Coffee Shop,Dessert Shop,Dog Run,M6R,West Toronto,"Parkdale, Roncesvalles",M6R,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Regent Park, Harbourfront",24755,Coffee Shop,Bakery,Pub,Park,Breakfast Spot,Restaurant,Café,Theater,French Restaurant,Farmers Market,M5A,Downtown Toronto,"Regent Park, Harbourfront",M5A,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
"Richmond, Adelaide, King",0,Coffee Shop,Café,Restaurant,Gym,Thai Restaurant,Deli / Bodega,Clothing Store,Bakery,Sushi Restaurant,Steakhouse,M5H,Downtown Toronto,"Richmond, Adelaide, King",M5H,9,9,9,9,9,9,9,9,9,0,0,9,9,0,9,9
Rosedale,7672,Park,Playground,Trail,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,M4W,Downtown Toronto,Rosedale,M4W,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4
"Runnymede, Swansea",15515,Coffee Shop,Café,Sushi Restaurant,Pizza Place,Italian Restaurant,Pub,Bar,Smoothie Shop,Bookstore,Sandwich Place,M6S,West Toronto,"Runnymede, Swansea",M6S,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Runnymede, The Junction North",15773,Convenience Store,Bus Line,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Dessert Shop,Donut Shop,M6N,York,"Runnymede, The Junction North",M6N,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
Scarborough Village,12796,Playground,Spa,College Gym,College Rec Center,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop,M1J,Scarborough,Scarborough Village,M1J,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",16790,Pizza Place,Grocery Store,Pharmacy,Sandwich Place,Beer Store,Liquor Store,Fast Food Restaurant,Fried Chicken Joint,Video Store,Colombian Restaurant,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",M9V,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
St. James Town,14666,Coffee Shop,Café,Cocktail Bar,Gastropub,American Restaurant,Clothing Store,Moroccan Restaurant,Cosmetics Shop,Creperie,Department Store,M5C,Downtown Toronto,St. James Town,M5C,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
Studio District,0,Coffee Shop,Café,Brewery,Bakery,Gastropub,American Restaurant,Fish Market,Bank,Bar,Italian Restaurant,M4M,East Toronto,Studio District,M4M,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",50539,Coffee Shop,Pizza Place,Pub,Light Rail Station,Supermarket,Bank,Sushi Restaurant,Restaurant,Bagel Shop,Fried Chicken Joint,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"The Annex, North Midtown, Yorkville",6045,Café,Sandwich Place,Coffee Shop,Pizza Place,Indian Restaurant,Pharmacy,Pub,Burger Joint,Middle Eastern Restaurant,Donut Shop,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",M5R,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4
The Beaches,20416,Pub,Trail,Park,Health Food Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,M4E,East Toronto,The Beaches,M4E,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"The Danforth West, Riverdale",38856,Greek Restaurant,Coffee Shop,Italian Restaurant,Furniture / Home Store,Ice Cream Shop,Restaurant,Cosmetics Shop,Bookstore,Brewery,Bubble Tea Shop,M4K,East Toronto,"The Danforth West, Riverdale",M4K,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"The Kingsway, Montgomery Road, Old Mill North",12790,Pool,River,Park,Women's Store,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",M8X,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
Thorncliffe Park,17949,Indian Restaurant,Yoga Studio,Discount Store,Burger Joint,Sandwich Place,Restaurant,Coffee Shop,Pizza Place,Park,Middle Eastern Restaurant,M4H,East York,Thorncliffe Park,M4H,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"University of Toronto, Harbord",5906,Café,Bookstore,Bakery,Bar,Japanese Restaurant,Yoga Studio,Bank,Italian Restaurant,Beer Bar,Beer Store,M5S,Downtown Toronto,"University of Toronto, Harbord",M5S,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",30191,Filipino Restaurant,Bakery,Women's Store,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",M9B,5,5,5,5,5,5,5,4,4,0,0,5,5,0,5,5
Westmount,5857,Pizza Place,Chinese Restaurant,Sandwich Place,Coffee Shop,Middle Eastern Restaurant,Intersection,Discount Store,Department Store,Dessert Shop,Dim Sum Restaurant,M9P,Etobicoke,Westmount,M9P,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Wexford, Maryvale",26644,Auto Garage,Middle Eastern Restaurant,Sandwich Place,Bakery,Shopping Mall,Drugstore,Donut Shop,Doner Restaurant,Dumpling Restaurant,Event Space,M1R,Scarborough,"Wexford, Maryvale",M1R,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Willowdale, Newtonbrook",79190,Park,Women's Store,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop,M2M,North York,"Willowdale, Newtonbrook",M2M,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
"Willowdale, Willowdale East",43144,Ramen Restaurant,Sandwich Place,Shopping Mall,Restaurant,Café,Sushi Restaurant,Pizza Place,Coffee Shop,Middle Eastern Restaurant,Plaza,M2N,North York,"Willowdale, Willowdale East",M2N,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
York Mills West,17564,Convenience Store,Park,Women's Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,M2P,North York,York Mills West,M2P,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1